component,operation,in_channels,out_channels,kernel_size,dilation,padding,groups,bias,padding_semantics,causality_interpretation
stem.0,Conv1d,128,128,3,1,1,1,False,symmetric_left_right_zero_padding,noncausal_within_complete_repetition
stem.1,GroupNorm,128,128,,,,8,True,not_applicable,not_applicable
blocks.0.depthwise,Conv1d,128,128,3,1,1,128,False,symmetric_left_right_zero_padding,noncausal_within_complete_repetition
blocks.0.pointwise,Conv1d,128,128,1,1,0,1,False,no_temporal_padding,pointwise
blocks.0.norm,GroupNorm,128,128,,,,8,True,not_applicable,not_applicable
blocks.0.dropout,Dropout,128,128,,,,,False,not_applicable,not_applicable
blocks.1.depthwise,Conv1d,128,128,3,2,2,128,False,symmetric_left_right_zero_padding,noncausal_within_complete_repetition
blocks.1.pointwise,Conv1d,128,128,1,1,0,1,False,no_temporal_padding,pointwise
blocks.1.norm,GroupNorm,128,128,,,,8,True,not_applicable,not_applicable
blocks.1.dropout,Dropout,128,128,,,,,False,not_applicable,not_applicable
blocks.2.depthwise,Conv1d,128,128,3,4,4,128,False,symmetric_left_right_zero_padding,noncausal_within_complete_repetition
blocks.2.pointwise,Conv1d,128,128,1,1,0,1,False,no_temporal_padding,pointwise
blocks.2.norm,GroupNorm,128,128,,,,8,True,not_applicable,not_applicable
blocks.2.dropout,Dropout,128,128,,,,,False,not_applicable,not_applicable
blocks.3.depthwise,Conv1d,128,128,3,8,8,128,False,symmetric_left_right_zero_padding,noncausal_within_complete_repetition
blocks.3.pointwise,Conv1d,128,128,1,1,0,1,False,no_temporal_padding,pointwise
blocks.3.norm,GroupNorm,128,128,,,,8,True,not_applicable,not_applicable
blocks.3.dropout,Dropout,128,128,,,,,False,not_applicable,not_applicable
attention_score,Conv1d,128,1,1,1,0,1,True,no_temporal_padding,full_sequence_attention_pooling_follows
classifier,Linear,128,7,,,,1,True,not_applicable,complete_repetition_classifier

